12/05/2023 16:40 | Field | 0h 5m 23s
12/05/2023 17:46 | Field | 0h 5m 44s
12/05/2023 17:56 | Field | 0h 5m 43s
12/06/2023 23:34 | Field | 0h 5m 47s
12/06/2023 23:40 | Field | 0h 5m 42s
12/06/2023 23:58 | Field | 0h 5m 44s
12/07/2023 00:31 | Field | 0h 5m 43s
12/07/2023 00:42 | Field | 0h 5m 42s
12/07/2023 12:10 | Field | 0h 5m 45s
12/07/2023 12:40 | Field | 0h 9m 6s
12/07/2023 12:46 | Field | 0h 5m 44s
12/07/2023 12:57 | Field | 0h 5m 42s
12/07/2023 19:25 | Field | 0h 5m 51s
12/07/2023 19:34 | Field | 0h 5m 41s
12/07/2023 19:46 | Field | 0h 5m 42s
12/07/2023 20:52 | Field | 0h 5m 43s
12/07/2023 21:28 | Field | 0h 5m 42s
12/07/2023 21:39 | Field | 0h 5m 46s
12/07/2023 21:46 | Field | 0h 5m 43s
12/07/2023 21:54 | Field | 0h 5m 43s
12/07/2023 22:02 | Field | 0h 5m 42s
12/07/2023 22:14 | Field | 0h 5m 45s
12/10/2023 23:10 | Field | 0h 5m 42s
